"pick_rank","expected_value"
"1","76.9"
"2","63.9"
"3","56.2"
"4","50.8"
"5","46.6"
"6","43.2"
"7","40.3"
"8","37.8"
"9","35.6"
"10","33.6"
"11","31.8"
"12","30.2"
"13","28.7"
"14","27.3"
"15","26.0"
"16","24.8"
"17","23.6"
"18","22.6"
"19","21.5"
"20","20.6"
"21","19.7"
"22","18.8"
"23","18.0"
"24","17.2"
"25","16.4"
"26","15.6"
"27","14.9"
"28","14.3"
"29","13.6"
"30","13.0"
"31","12.3"
"32","11.7"
"33","11.2"
"34","10.6"
"35","10.1"
"36","9.5"
"37","9.0"
"38","8.5"
"39","8.0"
"40","7.5"
"41","7.1"
"42","6.6"
"43","6.2"
"44","5.8"
"45","5.3"
"46","4.9"
"47","4.5"
"48","4.1"
"49","3.7"
"50","3.4"
"51","3.0"
"52","2.6"
"53","2.3"
"54","1.9"
"55","1.6"
"56","1.2"
"57","0.9"
"58","0.6"
"59","0.2"
"60","-0.1"
